teststandort,modell,alpha,innerer_makro_mae,standardabweichung_innerer_standort_mae
Rheda-Beckum,Distanz,100.0,0.0545471426206867,0.0097949899356299
Rheda-Beckum,Wald + Wind,0.01,0.0493254464998878,0.0336414488281736
Rheda-Beckum,Wald + Wind,0.1,0.0449524300949362,0.0258695993746062
Rheda-Beckum,Wald + Wind,1.0,0.0397111605620591,0.0140665588312884
Rheda-Beckum,Wald + Wind,10.0,0.0502147278768631,0.0093474982348539
Rheda-Beckum,Wald + Wind,100.0,0.0540213191989826,0.0096493942142926
Rheda-Beckum,Vollstaendig,0.01,0.0975009132017579,0.1543552568257396
Rheda-Beckum,Vollstaendig,0.1,0.0760655236815341,0.102430184735985
Rheda-Beckum,Vollstaendig,1.0,0.0444963016073508,0.0247109415125738
Rheda-Beckum,Vollstaendig,10.0,0.0475556286280609,0.010066758557113
Rheda-Beckum,Vollstaendig,100.0,0.0535912956306336,0.0095712439589582
