standort,zielcluster,referenzpaar,referenzcluster,gewichtungsverfahren,referenzgewicht_0_bis_1
Alpen-Sevelen,AS-02,AS-01--AS-03,AS-03,Wald + Wind,0.4863722170179657
Alpen-Sevelen,AS-02,AS-01--AS-03,AS-01,Vollstaendig,0.5256905357132012
Alpen-Sevelen,AS-02,AS-01--AS-03,AS-03,Vollstaendig,0.4743094642867987
Alpen-Sevelen,AS-02,AS-01--AS-04,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-01--AS-04,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-01--AS-04,AS-01,1/d^2,0.8785461995935957
Alpen-Sevelen,AS-02,AS-01--AS-04,AS-04,1/d^2,0.1214538004064044
Alpen-Sevelen,AS-02,AS-01--AS-04,AS-01,Wald + Wind,0.4547183690429819
Alpen-Sevelen,AS-02,AS-01--AS-04,AS-04,Wald + Wind,0.545281630957018
Alpen-Sevelen,AS-02,AS-01--AS-04,AS-01,Vollstaendig,0.493962902646467
Alpen-Sevelen,AS-02,AS-01--AS-04,AS-04,Vollstaendig,0.5060370973535331
Alpen-Sevelen,AS-02,AS-01--AS-05,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-01--AS-05,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-01--AS-05,AS-01,1/d^2,0.865041186165491
Alpen-Sevelen,AS-02,AS-01--AS-05,AS-05,1/d^2,0.1349588138345091
Alpen-Sevelen,AS-02,AS-01--AS-05,AS-01,Wald + Wind,0.4847272826749639
Alpen-Sevelen,AS-02,AS-01--AS-05,AS-05,Wald + Wind,0.515272717325036
Alpen-Sevelen,AS-02,AS-01--AS-05,AS-01,Vollstaendig,0.5197969389989116
Alpen-Sevelen,AS-02,AS-01--AS-05,AS-05,Vollstaendig,0.4802030610010885
Alpen-Sevelen,AS-02,AS-01--AS-06,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-01--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-01--AS-06,AS-01,1/d^2,0.8837667554054147
Alpen-Sevelen,AS-02,AS-01--AS-06,AS-06,1/d^2,0.1162332445945853
Alpen-Sevelen,AS-02,AS-01--AS-06,AS-01,Wald + Wind,0.4506370846997959
Alpen-Sevelen,AS-02,AS-01--AS-06,AS-06,Wald + Wind,0.5493629153002041
Alpen-Sevelen,AS-02,AS-01--AS-06,AS-01,Vollstaendig,0.4867188289218772
Alpen-Sevelen,AS-02,AS-01--AS-06,AS-06,Vollstaendig,0.5132811710781228
Alpen-Sevelen,AS-02,AS-03--AS-04,AS-03,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-03--AS-04,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-03--AS-04,AS-03,1/d^2,0.4396141771322699
Alpen-Sevelen,AS-02,AS-03--AS-04,AS-04,1/d^2,0.5603858228677301
Alpen-Sevelen,AS-02,AS-03--AS-04,AS-03,Wald + Wind,0.4412356372496275
Alpen-Sevelen,AS-02,AS-03--AS-04,AS-04,Wald + Wind,0.5587643627503724
Alpen-Sevelen,AS-02,AS-03--AS-04,AS-03,Vollstaendig,0.4682920380791453
Alpen-Sevelen,AS-02,AS-03--AS-04,AS-04,Vollstaendig,0.5317079619208546
Alpen-Sevelen,AS-02,AS-03--AS-05,AS-03,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-03--AS-05,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-03--AS-05,AS-03,1/d^2,0.4100750529090851
Alpen-Sevelen,AS-02,AS-03--AS-05,AS-05,1/d^2,0.5899249470909149
Alpen-Sevelen,AS-02,AS-03--AS-05,AS-03,Wald + Wind,0.4711235403016995
Alpen-Sevelen,AS-02,AS-03--AS-05,AS-05,Wald + Wind,0.5288764596983005
Alpen-Sevelen,AS-02,AS-03--AS-05,AS-03,Vollstaendig,0.4940943890532822
Alpen-Sevelen,AS-02,AS-03--AS-05,AS-05,Vollstaendig,0.5059056109467178
