modell,teststandort,alpha,mae_direkte_fehlerprognose
Wald + Wind,Bad Berleburg,1.0,0.0466005672604867
Wald + Wind,Borken-Coesfeld,1.0,0.0280585993516361
Wald + Wind,Lorup,1.0,0.0518340234209268
Wald + Wind,Ostfriesland,1.0,0.0272037782318453
Wald + Wind,Paderborn,1.0,0.0514863664881365
Wald + Wind,Rheda-Beckum,1.0,0.0196867968518084
Distanz + RIX + Gelaendehoehe,Alpen-Sevelen,1.0,0.0223027393431286
Distanz + RIX + Gelaendehoehe,Altenmellrich,1.0,0.0558073153880418
Distanz + RIX + Gelaendehoehe,Bad Berleburg,1.0,0.0739600294491928
Distanz + RIX + Gelaendehoehe,Borken-Coesfeld,1.0,0.032184343639459
Distanz + RIX + Gelaendehoehe,Lorup,1.0,0.0469202264481795
Distanz + RIX + Gelaendehoehe,Ostfriesland,1.0,0.0374042693360104
Distanz + RIX + Gelaendehoehe,Paderborn,10.0,0.0517703552002473
Distanz + RIX + Gelaendehoehe,Rheda-Beckum,1.0,0.0254831941507089
Distanz + RIX + Rauigkeit,Alpen-Sevelen,10.0,0.0380850318395645
Distanz + RIX + Rauigkeit,Altenmellrich,1.0,0.0571848251676529
Distanz + RIX + Rauigkeit,Bad Berleburg,1.0,0.079842247413439
Distanz + RIX + Rauigkeit,Borken-Coesfeld,10.0,0.0496220966180614
Distanz + RIX + Rauigkeit,Lorup,1.0,0.0610585993549541
Distanz + RIX + Rauigkeit,Ostfriesland,1.0,0.0464013167848987
Distanz + RIX + Rauigkeit,Paderborn,10.0,0.0517003422384848
Distanz + RIX + Rauigkeit,Rheda-Beckum,1.0,0.02457656474379
Distanz + RIX + Wald,Alpen-Sevelen,1.0,0.0239944906964374
Distanz + RIX + Wald,Altenmellrich,1.0,0.0534228738318206
Distanz + RIX + Wald,Bad Berleburg,1.0,0.0671744425726526
Distanz + RIX + Wald,Borken-Coesfeld,1.0,0.0311537267357839
Distanz + RIX + Wald,Lorup,1.0,0.063381223233834
