standort,clusterpaar,modell,prognostiziertes_rms_logfehlerniveau
Bad Berleburg,BB-01--BB-06,Wald + Wind,0.1100675666370707
Bad Berleburg,BB-01--BB-07,Wald + Wind,0.0991056686241436
Bad Berleburg,BB-02--BB-03,Wald + Wind,0.0949441502578534
Bad Berleburg,BB-02--BB-04,Wald + Wind,0.0717026182551215
Bad Berleburg,BB-02--BB-05,Wald + Wind,0.0942928959956562
Bad Berleburg,BB-02--BB-06,Wald + Wind,0.1503090624515917
Bad Berleburg,BB-02--BB-07,Wald + Wind,0.0696436268033073
Bad Berleburg,BB-03--BB-04,Wald + Wind,0.0907794670817636
Bad Berleburg,BB-03--BB-05,Wald + Wind,0.0833291531535921
Bad Berleburg,BB-03--BB-06,Wald + Wind,0.1009957123590085
Bad Berleburg,BB-03--BB-07,Wald + Wind,0.1225088365186248
Bad Berleburg,BB-04--BB-05,Wald + Wind,0.0756181232531488
Bad Berleburg,BB-04--BB-06,Wald + Wind,0.1136031310568449
Bad Berleburg,BB-04--BB-07,Wald + Wind,0.0840199833434566
Bad Berleburg,BB-05--BB-06,Wald + Wind,0.1088450206368071
Bad Berleburg,BB-05--BB-07,Wald + Wind,0.09590135572951
Bad Berleburg,BB-06--BB-07,Wald + Wind,0.1638468321657576
Bad Berleburg,BB-01--BB-02,Vollstaendig,0.1249194511480085
Bad Berleburg,BB-01--BB-03,Vollstaendig,0.1124207745332649
Bad Berleburg,BB-01--BB-04,Vollstaendig,0.1258685944128046
Bad Berleburg,BB-01--BB-05,Vollstaendig,0.0976532236121591
Bad Berleburg,BB-01--BB-06,Vollstaendig,0.1562508218963208
Bad Berleburg,BB-01--BB-07,Vollstaendig,0.1684260814793015
Bad Berleburg,BB-02--BB-03,Vollstaendig,0.1592992574074732
Bad Berleburg,BB-02--BB-04,Vollstaendig,0.1280726137318423
Bad Berleburg,BB-02--BB-05,Vollstaendig,0.1370521420705059
Bad Berleburg,BB-02--BB-06,Vollstaendig,0.2160258376967656
Bad Berleburg,BB-02--BB-07,Vollstaendig,0.1105327711685979
Bad Berleburg,BB-03--BB-04,Vollstaendig,0.132792948090524
Bad Berleburg,BB-03--BB-05,Vollstaendig,0.134624349349821
Bad Berleburg,BB-03--BB-06,Vollstaendig,0.1440337476866945
Bad Berleburg,BB-03--BB-07,Vollstaendig,0.2391137669870494
Bad Berleburg,BB-04--BB-05,Vollstaendig,0.1318652844661719
Bad Berleburg,BB-04--BB-06,Vollstaendig,0.1556814421888248
Bad Berleburg,BB-04--BB-07,Vollstaendig,0.1705229993671198
Bad Berleburg,BB-05--BB-06,Vollstaendig,0.1774753792652662
Bad Berleburg,BB-05--BB-07,Vollstaendig,0.1673461662198413
Bad Berleburg,BB-06--BB-07,Vollstaendig,0.2968078835548804
Borken-Coesfeld,BC-01--BC-02,Konstant,0.082673176134535
Borken-Coesfeld,BC-01--BC-03,Konstant,0.082673176134535
Borken-Coesfeld,BC-01--BC-04,Konstant,0.082673176134535
Borken-Coesfeld,BC-01--BC-05,Konstant,0.082673176134535
Borken-Coesfeld,BC-01--BC-06,Konstant,0.082673176134535
Borken-Coesfeld,BC-02--BC-03,Konstant,0.082673176134535
Borken-Coesfeld,BC-02--BC-04,Konstant,0.082673176134535
Borken-Coesfeld,BC-02--BC-05,Konstant,0.082673176134535
Borken-Coesfeld,BC-02--BC-06,Konstant,0.082673176134535
Borken-Coesfeld,BC-03--BC-04,Konstant,0.082673176134535
Borken-Coesfeld,BC-03--BC-05,Konstant,0.082673176134535
Borken-Coesfeld,BC-03--BC-06,Konstant,0.082673176134535
Borken-Coesfeld,BC-04--BC-05,Konstant,0.082673176134535
Borken-Coesfeld,BC-04--BC-06,Konstant,0.082673176134535
Borken-Coesfeld,BC-05--BC-06,Konstant,0.082673176134535
Borken-Coesfeld,BC-01--BC-02,Distanz,0.0826649309870958
Borken-Coesfeld,BC-01--BC-03,Distanz,0.0826919881237019
Borken-Coesfeld,BC-01--BC-04,Distanz,0.0826903544521758
Borken-Coesfeld,BC-01--BC-05,Distanz,0.0826840697913453
Borken-Coesfeld,BC-01--BC-06,Distanz,0.082679436836763
Borken-Coesfeld,BC-02--BC-03,Distanz,0.0826948850443832
Borken-Coesfeld,BC-02--BC-04,Distanz,0.0826926701452419
Borken-Coesfeld,BC-02--BC-05,Distanz,0.0826864568213598
Borken-Coesfeld,BC-02--BC-06,Distanz,0.0826778824968562
Borken-Coesfeld,BC-03--BC-04,Distanz,0.0826614835111869
Borken-Coesfeld,BC-03--BC-05,Distanz,0.0826664324107953
Borken-Coesfeld,BC-03--BC-06,Distanz,0.0826806240594159
Borken-Coesfeld,BC-04--BC-05,Distanz,0.0826641594298382
Borken-Coesfeld,BC-04--BC-06,Distanz,0.0826773165684958
Borken-Coesfeld,BC-05--BC-06,Distanz,0.082672776941642
Borken-Coesfeld,BC-01--BC-02,Wald + Wind,0.0564463077760915
Borken-Coesfeld,BC-01--BC-03,Wald + Wind,0.0576887108752654
Borken-Coesfeld,BC-01--BC-04,Wald + Wind,0.0594467101983941
Borken-Coesfeld,BC-01--BC-05,Wald + Wind,0.0557493567796717
Borken-Coesfeld,BC-01--BC-06,Wald + Wind,0.0629886415929649
Borken-Coesfeld,BC-02--BC-03,Wald + Wind,0.0633001795736363
Borken-Coesfeld,BC-02--BC-04,Wald + Wind,0.0605790063259792
Borken-Coesfeld,BC-02--BC-05,Wald + Wind,0.0532395806257152
Borken-Coesfeld,BC-02--BC-06,Wald + Wind,0.0684713799649468
