standort,zielcluster,referenzpaar,gewichtungsverfahren,log_transferfehler_kombiniert
Alpen-Sevelen,AS-03,AS-04--AS-05,Gleichgewichtung,-0.0083828736681998
Alpen-Sevelen,AS-03,AS-04--AS-05,1/d^2,-0.0225544440077233
Alpen-Sevelen,AS-03,AS-04--AS-05,Wald + Wind,-0.0108950628065173
Alpen-Sevelen,AS-03,AS-04--AS-05,Vollstaendig,-0.0108161575545042
Alpen-Sevelen,AS-03,AS-04--AS-06,Gleichgewichtung,-0.0071699606411389
Alpen-Sevelen,AS-03,AS-04--AS-06,1/d^2,-0.0195090425045575
Alpen-Sevelen,AS-03,AS-04--AS-06,Wald + Wind,-0.0081734661039269
Alpen-Sevelen,AS-03,AS-04--AS-06,Vollstaendig,-0.0081764144365473
Alpen-Sevelen,AS-03,AS-05--AS-06,Gleichgewichtung,0.0137219495862813
Alpen-Sevelen,AS-03,AS-05--AS-06,1/d^2,0.0139397564931258
Alpen-Sevelen,AS-03,AS-05--AS-06,Wald + Wind,0.0138099914617691
Alpen-Sevelen,AS-03,AS-05--AS-06,Vollstaendig,0.0138053773849735
Alpen-Sevelen,AS-04,AS-01--AS-02,Gleichgewichtung,-0.0258849323770901
Alpen-Sevelen,AS-04,AS-01--AS-02,1/d^2,-0.0258630911423036
Alpen-Sevelen,AS-04,AS-01--AS-02,Wald + Wind,-0.0258942318062677
Alpen-Sevelen,AS-04,AS-01--AS-02,Vollstaendig,-0.0258896294471067
Alpen-Sevelen,AS-04,AS-01--AS-03,Gleichgewichtung,0.0023511010164124
Alpen-Sevelen,AS-04,AS-01--AS-03,1/d^2,0.0277041386298476
Alpen-Sevelen,AS-04,AS-01--AS-03,Wald + Wind,0.0087086767337077
Alpen-Sevelen,AS-04,AS-01--AS-03,Vollstaendig,0.0073685095490554
Alpen-Sevelen,AS-04,AS-01--AS-05,Gleichgewichtung,0.0088118496143141
Alpen-Sevelen,AS-04,AS-01--AS-05,1/d^2,0.037728709305278
Alpen-Sevelen,AS-04,AS-01--AS-05,Wald + Wind,0.0161533323505158
Alpen-Sevelen,AS-04,AS-01--AS-05,Vollstaendig,0.0134913864948022
Alpen-Sevelen,AS-04,AS-01--AS-06,Gleichgewichtung,0.0100400737173997
Alpen-Sevelen,AS-04,AS-01--AS-06,1/d^2,0.0409192289334899
Alpen-Sevelen,AS-04,AS-01--AS-06,Wald + Wind,0.0215178106172437
Alpen-Sevelen,AS-04,AS-01--AS-06,Vollstaendig,0.0187423663023203
Alpen-Sevelen,AS-04,AS-02--AS-03,Gleichgewichtung,0.0022843481920655
Alpen-Sevelen,AS-04,AS-02--AS-03,1/d^2,0.0286683598503746
Alpen-Sevelen,AS-04,AS-02--AS-03,Wald + Wind,0.0049874951078494
Alpen-Sevelen,AS-04,AS-02--AS-03,Vollstaendig,0.0054564269857804
Alpen-Sevelen,AS-04,AS-02--AS-05,Gleichgewichtung,0.0087455266872607
Alpen-Sevelen,AS-04,AS-02--AS-05,1/d^2,0.0398425919911009
Alpen-Sevelen,AS-04,AS-02--AS-05,Wald + Wind,0.0115893941371686
Alpen-Sevelen,AS-04,AS-02--AS-05,Vollstaendig,0.0111321640133736
Alpen-Sevelen,AS-04,AS-02--AS-06,Gleichgewichtung,0.0099738322024556
Alpen-Sevelen,AS-04,AS-02--AS-06,1/d^2,0.0426679074321845
Alpen-Sevelen,AS-04,AS-02--AS-06,Wald + Wind,0.0170508064010008
Alpen-Sevelen,AS-04,AS-02--AS-06,Vollstaendig,0.0164058232131751
Alpen-Sevelen,AS-04,AS-03--AS-05,Gleichgewichtung,0.0360334633724971
Alpen-Sevelen,AS-04,AS-03--AS-05,1/d^2,0.0341035355153493
Alpen-Sevelen,AS-04,AS-03--AS-05,Wald + Wind,0.0359468361231678
Alpen-Sevelen,AS-04,AS-03--AS-05,Vollstaendig,0.0357551796874917
Alpen-Sevelen,AS-04,AS-03--AS-06,Gleichgewichtung,0.0372287239030269
Alpen-Sevelen,AS-04,AS-03--AS-06,1/d^2,0.0357906241439473
Alpen-Sevelen,AS-04,AS-03--AS-06,Wald + Wind,0.038019359391566
Alpen-Sevelen,AS-04,AS-03--AS-06,Vollstaendig,0.037751909378779
