modell,teststandort,merkmalsgewichtung,merkmal,merkmalsgewicht_0_bis_1,trainingsmittelwert_in_merkmalseinheit,trainingsstandardabweichung_in_merkmalseinheit
Vollstaendig,Borken-Coesfeld,Koeffizientenbetraege,distanz_m,0.0251902713788662,11826.221946832453,9092.239459002802
Vollstaendig,Borken-Coesfeld,Koeffizientenbetraege,mittlerer_rix_prozent,0.2476856735491297,21.707536765555083,25.95040383681329
Vollstaendig,Borken-Coesfeld,Koeffizientenbetraege,gelaendehoehendifferenz_m,0.1821637024769477,26.79613014610027,29.64372307863457
Vollstaendig,Borken-Coesfeld,Koeffizientenbetraege,rauigkeitsdifferenz_rms_m,0.0371475859378899,0.0796741782466745,0.0335380615326391
Vollstaendig,Borken-Coesfeld,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.1493858972372959,0.1660935505571788,0.0897409227911631
Vollstaendig,Borken-Coesfeld,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.3584268694198703,0.0580628380651419,0.0385834939403134
Vollstaendig,Borken-Coesfeld,Gleichgewichtung,distanz_m,0.1666666666666666,11826.221946832453,9092.239459002802
Vollstaendig,Borken-Coesfeld,Gleichgewichtung,mittlerer_rix_prozent,0.1666666666666666,21.707536765555083,25.95040383681329
Vollstaendig,Borken-Coesfeld,Gleichgewichtung,gelaendehoehendifferenz_m,0.1666666666666666,26.79613014610027,29.64372307863457
Vollstaendig,Borken-Coesfeld,Gleichgewichtung,rauigkeitsdifferenz_rms_m,0.1666666666666666,0.0796741782466745,0.0335380615326391
Vollstaendig,Borken-Coesfeld,Gleichgewichtung,waldanteilsdifferenz_rms,0.1666666666666666,0.1660935505571788,0.0897409227911631
Vollstaendig,Borken-Coesfeld,Gleichgewichtung,winddissimilaritaet_log_rms,0.1666666666666666,0.0580628380651419,0.0385834939403134
Vollstaendig,Lorup,Koeffizientenbetraege,distanz_m,0.0552592441214521,13412.943146890835,9472.04675853865
Vollstaendig,Lorup,Koeffizientenbetraege,mittlerer_rix_prozent,0.2028800154277429,21.858292159673432,25.840757830346373
Vollstaendig,Lorup,Koeffizientenbetraege,gelaendehoehendifferenz_m,0.1259493937078496,28.24558765808691,29.41183016011747
Vollstaendig,Lorup,Koeffizientenbetraege,rauigkeitsdifferenz_rms_m,0.0432716634747652,0.077284649509734,0.0322637674650644
Vollstaendig,Lorup,Koeffizientenbetraege,waldanteilsdifferenz_rms,0.2605376096475442,0.1499398790758651,0.0856128429765644
Vollstaendig,Lorup,Koeffizientenbetraege,winddissimilaritaet_log_rms,0.3121020736206458,0.0604340954154411,0.0366989485193086
Vollstaendig,Lorup,Gleichgewichtung,distanz_m,0.1666666666666666,13412.943146890835,9472.04675853865
Vollstaendig,Lorup,Gleichgewichtung,mittlerer_rix_prozent,0.1666666666666666,21.858292159673432,25.840757830346373
Vollstaendig,Lorup,Gleichgewichtung,gelaendehoehendifferenz_m,0.1666666666666666,28.24558765808691,29.41183016011747
Vollstaendig,Lorup,Gleichgewichtung,rauigkeitsdifferenz_rms_m,0.1666666666666666,0.077284649509734,0.0322637674650644
Vollstaendig,Lorup,Gleichgewichtung,waldanteilsdifferenz_rms,0.1666666666666666,0.1499398790758651,0.0856128429765644
