modell,teststandort,merkmalsgewichtung,aoa_grenzverfahren,normierungsdistanz_standardisiert,aoa_grenze_di,trainings_di_quartil_25,trainings_di_quartil_75,groesster_trainings_di
Vollstaendig,Bad Berleburg,Gleichgewichtung,Quantil_95,1.5861117883868845,0.8821497356457196,0.2508894182030473,0.5324209489386049,1.1804699696453154
Vollstaendig,Borken-Coesfeld,Koeffizientenbetraege,Oberer_Whisker,1.4332154611522625,0.8197383407933985,0.2650958383757897,0.4876257357700863,1.000051456430059
Vollstaendig,Borken-Coesfeld,Koeffizientenbetraege,Quantil_95,1.4332154611522625,0.7492320134712208,0.2650958383757897,0.4876257357700863,1.000051456430059
Vollstaendig,Borken-Coesfeld,Gleichgewichtung,Oberer_Whisker,1.452291539166193,0.9437605662017048,0.283360599450138,0.5505973256737876,1.2513677584957856
Vollstaendig,Borken-Coesfeld,Gleichgewichtung,Quantil_95,1.452291539166193,0.9105551399754316,0.283360599450138,0.5505973256737876,1.2513677584957856
Vollstaendig,Lorup,Koeffizientenbetraege,Oberer_Whisker,1.4524261969434349,0.8017717639468837,0.2707428134093031,0.4878315517947192,1.063610009623438
Vollstaendig,Lorup,Koeffizientenbetraege,Quantil_95,1.4524261969434349,0.8173292422698416,0.2707428134093031,0.4878315517947192,1.063610009623438
Vollstaendig,Lorup,Gleichgewichtung,Oberer_Whisker,1.4646803854096846,0.9355129486939872,0.2683234619159285,0.5445253158697797,1.2761834461803427
Vollstaendig,Lorup,Gleichgewichtung,Quantil_95,1.4646803854096846,0.9114265925692322,0.2683234619159285,0.5445253158697797,1.2761834461803427
Vollstaendig,Ostfriesland,Koeffizientenbetraege,Oberer_Whisker,1.4659772458298268,0.8528619783686893,0.2637491558906751,0.5131487236138244,1.192207377164764
Vollstaendig,Ostfriesland,Koeffizientenbetraege,Quantil_95,1.4659772458298268,0.8961768043781074,0.2637491558906751,0.5131487236138244,1.192207377164764
Vollstaendig,Ostfriesland,Gleichgewichtung,Oberer_Whisker,1.5167320411694205,0.9571797964342802,0.2790465821156841,0.5545425447917447,1.351902930014867
Vollstaendig,Ostfriesland,Gleichgewichtung,Quantil_95,1.5167320411694205,0.9660716133886208,0.2790465821156841,0.5545425447917447,1.351902930014867
Vollstaendig,Paderborn,Koeffizientenbetraege,Oberer_Whisker,1.3597029131038596,0.8926619496093461,0.2168896572234096,0.5874326468891596,1.176257522492906
Vollstaendig,Paderborn,Koeffizientenbetraege,Quantil_95,1.3597029131038596,0.8301903710994276,0.2168896572234096,0.5874326468891596,1.176257522492906
Vollstaendig,Paderborn,Gleichgewichtung,Oberer_Whisker,1.3550253201080975,0.7884499935462455,0.2540920016130908,0.5877527038057611,1.0951242480021577
Vollstaendig,Paderborn,Gleichgewichtung,Quantil_95,1.3550253201080975,0.7375607888211212,0.2540920016130908,0.5877527038057611,1.0951242480021577
Vollstaendig,Rheda-Beckum,Koeffizientenbetraege,Oberer_Whisker,1.4234918501343503,0.817397812830944,0.2448267059855174,0.4784391121280003,0.9819414971118888
Vollstaendig,Rheda-Beckum,Koeffizientenbetraege,Quantil_95,1.4234918501343503,0.7324599699985012,0.2448267059855174,0.4784391121280003,0.9819414971118888
Vollstaendig,Rheda-Beckum,Gleichgewichtung,Oberer_Whisker,1.4564395724357209,0.9119115967880612,0.3102711923861192,0.5529377926973889,1.2705663267391596
Vollstaendig,Rheda-Beckum,Gleichgewichtung,Quantil_95,1.4564395724357209,0.9278834392272534,0.3102711923861192,0.5529377926973889,1.2705663267391596
