modell,teststandort,merkmal,koeffizient_standardisiert
RIX + Wald,Alpen-Sevelen,waldanteilsdifferenz_rms,0.2866837869471041
RIX + Wald,Altenmellrich,mittlerer_rix_prozent,0.3674679642232027
RIX + Wald,Altenmellrich,waldanteilsdifferenz_rms,0.1853434029704667
RIX + Wald,Bad Berleburg,mittlerer_rix_prozent,0.4550221798286609
RIX + Wald,Bad Berleburg,waldanteilsdifferenz_rms,0.2056446946190717
RIX + Wald,Borken-Coesfeld,mittlerer_rix_prozent,0.3387067024701157
RIX + Wald,Borken-Coesfeld,waldanteilsdifferenz_rms,0.2529932858586526
RIX + Wald,Lorup,mittlerer_rix_prozent,0.2921572925242156
RIX + Wald,Lorup,waldanteilsdifferenz_rms,0.3401680940098612
RIX + Wald,Ostfriesland,mittlerer_rix_prozent,0.328602545792824
RIX + Wald,Ostfriesland,waldanteilsdifferenz_rms,0.1973513597500015
RIX + Wald,Paderborn,mittlerer_rix_prozent,0.0714954561938722
RIX + Wald,Paderborn,waldanteilsdifferenz_rms,0.0524194163407903
RIX + Wald,Rheda-Beckum,mittlerer_rix_prozent,0.4114964353712292
RIX + Wald,Rheda-Beckum,waldanteilsdifferenz_rms,0.2697074242434889
RIX + Wind,Alpen-Sevelen,mittlerer_rix_prozent,0.2910059382840376
RIX + Wind,Alpen-Sevelen,winddissimilaritaet_log_rms,0.4368902292882207
RIX + Wind,Altenmellrich,mittlerer_rix_prozent,0.2826331286268735
RIX + Wind,Altenmellrich,winddissimilaritaet_log_rms,0.3540170513789364
RIX + Wind,Bad Berleburg,mittlerer_rix_prozent,0.3470096404611919
RIX + Wind,Bad Berleburg,winddissimilaritaet_log_rms,0.4380224705751526
RIX + Wind,Borken-Coesfeld,mittlerer_rix_prozent,0.2675756812943725
RIX + Wind,Borken-Coesfeld,winddissimilaritaet_log_rms,0.4273508465273725
RIX + Wind,Lorup,mittlerer_rix_prozent,0.2449963671888672
RIX + Wind,Lorup,winddissimilaritaet_log_rms,0.3775565375575785
RIX + Wind,Ostfriesland,mittlerer_rix_prozent,0.2482286062588855
RIX + Wind,Ostfriesland,winddissimilaritaet_log_rms,0.4281067300807982
RIX + Wind,Paderborn,mittlerer_rix_prozent,0.0678539563349568
RIX + Wind,Paderborn,winddissimilaritaet_log_rms,0.0921652195039128
RIX + Wind,Rheda-Beckum,mittlerer_rix_prozent,0.3296040421843495
RIX + Wind,Rheda-Beckum,winddissimilaritaet_log_rms,0.4489627171749425
Gelaendehoehe + Rauigkeit,Alpen-Sevelen,gelaendehoehendifferenz_m,0.3043267481495558
Gelaendehoehe + Rauigkeit,Alpen-Sevelen,rauigkeitsdifferenz_rms_m,0.0786817161170338
Gelaendehoehe + Rauigkeit,Altenmellrich,gelaendehoehendifferenz_m,0.1839818172865791
Gelaendehoehe + Rauigkeit,Altenmellrich,rauigkeitsdifferenz_rms_m,0.1219088076610111
Gelaendehoehe + Rauigkeit,Bad Berleburg,gelaendehoehendifferenz_m,0.7457776722755269
Gelaendehoehe + Rauigkeit,Bad Berleburg,rauigkeitsdifferenz_rms_m,-0.0630511949216162
Gelaendehoehe + Rauigkeit,Borken-Coesfeld,gelaendehoehendifferenz_m,0.3076333149145977
Gelaendehoehe + Rauigkeit,Borken-Coesfeld,rauigkeitsdifferenz_rms_m,0.1194090092993509
Gelaendehoehe + Rauigkeit,Lorup,gelaendehoehendifferenz_m,0.2633574517784687
Gelaendehoehe + Rauigkeit,Lorup,rauigkeitsdifferenz_rms_m,0.1754806541476261
Gelaendehoehe + Rauigkeit,Ostfriesland,gelaendehoehendifferenz_m,0.2617963112977257
Gelaendehoehe + Rauigkeit,Ostfriesland,rauigkeitsdifferenz_rms_m,0.1163018804259741
Gelaendehoehe + Rauigkeit,Paderborn,gelaendehoehendifferenz_m,0.3558649937633852
Gelaendehoehe + Rauigkeit,Paderborn,rauigkeitsdifferenz_rms_m,0.0481509532053427
Gelaendehoehe + Rauigkeit,Rheda-Beckum,gelaendehoehendifferenz_m,0.3507551203788666
Gelaendehoehe + Rauigkeit,Rheda-Beckum,rauigkeitsdifferenz_rms_m,0.1104620130398014
Gelaendehoehe + Wald,Alpen-Sevelen,gelaendehoehendifferenz_m,0.2612022723585797
Gelaendehoehe + Wald,Alpen-Sevelen,waldanteilsdifferenz_rms,0.2491126632910774
Gelaendehoehe + Wald,Altenmellrich,gelaendehoehendifferenz_m,0.1683846432773425
Gelaendehoehe + Wald,Altenmellrich,waldanteilsdifferenz_rms,0.2184242582038965
Gelaendehoehe + Wald,Bad Berleburg,gelaendehoehendifferenz_m,0.355327287540169
Gelaendehoehe + Wald,Bad Berleburg,waldanteilsdifferenz_rms,0.2076323651081887
Gelaendehoehe + Wald,Borken-Coesfeld,gelaendehoehendifferenz_m,0.2844591055697886
Gelaendehoehe + Wald,Borken-Coesfeld,waldanteilsdifferenz_rms,0.2103842228464024
Gelaendehoehe + Wald,Lorup,gelaendehoehendifferenz_m,0.2228217789636965
Gelaendehoehe + Wald,Lorup,waldanteilsdifferenz_rms,0.3169331088693649
Gelaendehoehe + Wald,Ostfriesland,gelaendehoehendifferenz_m,0.2458939557975485
Gelaendehoehe + Wald,Ostfriesland,waldanteilsdifferenz_rms,0.1581775752110347
Gelaendehoehe + Wald,Paderborn,gelaendehoehendifferenz_m,0.3140711167641216
Gelaendehoehe + Wald,Paderborn,waldanteilsdifferenz_rms,0.2159928094221846
Gelaendehoehe + Wald,Rheda-Beckum,gelaendehoehendifferenz_m,0.3169400401440457
Gelaendehoehe + Wald,Rheda-Beckum,waldanteilsdifferenz_rms,0.2215155564580613
Gelaendehoehe + Wind,Alpen-Sevelen,gelaendehoehendifferenz_m,0.2027730027030665
Gelaendehoehe + Wind,Alpen-Sevelen,winddissimilaritaet_log_rms,0.4353960614492775
Gelaendehoehe + Wind,Altenmellrich,gelaendehoehendifferenz_m,0.0934324543993714
Gelaendehoehe + Wind,Altenmellrich,winddissimilaritaet_log_rms,0.4264910545437892
Gelaendehoehe + Wind,Bad Berleburg,gelaendehoehendifferenz_m,0.2477229708780688
Gelaendehoehe + Wind,Bad Berleburg,winddissimilaritaet_log_rms,0.4553823841599857
Gelaendehoehe + Wind,Borken-Coesfeld,gelaendehoehendifferenz_m,0.2180682067314731
Gelaendehoehe + Wind,Borken-Coesfeld,winddissimilaritaet_log_rms,0.41768710026294
Gelaendehoehe + Wind,Lorup,gelaendehoehendifferenz_m,0.1911550985293186
Gelaendehoehe + Wind,Lorup,winddissimilaritaet_log_rms,0.3733622012152297
Gelaendehoehe + Wind,Ostfriesland,gelaendehoehendifferenz_m,0.1682815174176207
Gelaendehoehe + Wind,Ostfriesland,winddissimilaritaet_log_rms,0.4303910526068795
Gelaendehoehe + Wind,Paderborn,gelaendehoehendifferenz_m,0.2280277394788347
Gelaendehoehe + Wind,Paderborn,winddissimilaritaet_log_rms,0.4399078776175508
Gelaendehoehe + Wind,Rheda-Beckum,gelaendehoehendifferenz_m,0.2462754521943104
Gelaendehoehe + Wind,Rheda-Beckum,winddissimilaritaet_log_rms,0.4462233791273121
Rauigkeit + Wald,Alpen-Sevelen,rauigkeitsdifferenz_rms_m,0.0795852941431044
Rauigkeit + Wald,Alpen-Sevelen,waldanteilsdifferenz_rms,0.3085005669277024
Rauigkeit + Wald,Altenmellrich,rauigkeitsdifferenz_rms_m,0.1074605419264171
Rauigkeit + Wald,Altenmellrich,waldanteilsdifferenz_rms,0.2276703167038594
Rauigkeit + Wald,Bad Berleburg,rauigkeitsdifferenz_rms_m,-0.021646189631759
Rauigkeit + Wald,Bad Berleburg,waldanteilsdifferenz_rms,0.6972758689299873
Rauigkeit + Wald,Borken-Coesfeld,rauigkeitsdifferenz_rms_m,0.1388682038714525
